index,name,group,HR,WAR,G,OPS,H,OPS+,RAR,Rbat,Rbat+
82,Torii Hunter,2,10,-0.4,108,0.796,118,0.0,-5.0,-1.0,55.0
83,Luke Appling,2,0,0.0,6,0.692,8,77.0,0.0,-1.0,78.0
84,Steve Garvey,2,14,0.0,83,0.972,118,0.0,0.0,0.0,85.0
85,Tommy Corcoran,2,1,0.3,126,0.606,120,68.0,0.0,-25.0,74.0
86,Sammy Sosa,2,8,-0.4,89,0.763,103,0.0,-4.0,-5.0,84.0
90,Fred McGriff,2,19,-0.1,133,0.816,121,0.0,-1.0,-1.0,-13.0
91,Carlton Fisk,2,14,-0.1,125,0.746,100,0.0,-1.0,-1.0,-150.0
92,Mickey Vernon,2,3,-0.6,69,0.821,92,0.0,-6.0,-9.0,78.0
93,Dave Concepción,2,1,0.2,101,0.641,69,70.0,2.0,-11.0,65.0
94,Bert Campaneris,2,6,-0.2,86,0.878,115,0.0,1.0,-3.0,89.0
96,Julio Franco,2,21,-0.1,120,0.856,139,0.0,-1.0,-1.0,80.0
97,Chili Davis,2,19,-0.2,88,1.036,117,0.0,-1.0,-1.0,17.0
101,Bobby Wallace,2,0,-0.1,4,0.385,2,-10.0,-2.0,-3.0,-22.0
104,Lou Whitaker,2,3,-0.1,107,0.73,111,0.0,-2.0,-1.0,79.0
108,Bobby Abreu,2,13,0.0,132,0.847,137,0.0,0.0,-1.0,51.0
110,Miguel Tejada,2,22,-0.2,128,0.802,138,0.0,-2.0,-7.0,45.0
112,Joe Carter,2,22,-0.6,124,0.835,160,0.0,-5.0,-6.0,-4.0
113,Jim Thome,2,7,-0.1,125,0.845,142,0.0,-1.0,-3.0,78.0
114,Larry Bowa,2,0,-0.7,145,0.58,137,58.0,-6.0,-33.0,50.0
115,Babe Ruth,2,0,0.0,5,0.5,2,50.0,0.0,-1.0,29.0
116,Paul Konerko,2,37,-0.2,130,1.028,156,0.0,-2.0,-1.0,4.0
117,Ryne Sandberg,2,9,-0.1,133,0.749,152,0.0,-1.0,-1.0,-38.0
120,Bid McPhee,2,1,0.6,78,0.563,71,84.0,5.0,-6.0,86.0
122,Alan Trammell,2,3,-0.7,134,0.779,132,0.0,-6.0,-5.0,6.0
126,Manny Ramírez,2,31,-0.8,129,1.031,163,0.0,-7.0,-5.0,17.0
129,Don Baylor,2,22,0.0,140,1.011,166,0.0,0.0,-1.0,37.0
132,Rogers Hornsby,2,0,-0.4,18,0.552,14,66.0,-3.0,-2.0,61.0
134,Vladimir Guerrero,2,24,-0.1,138,1.049,179,0.0,-1.0,-2.0,26.0
138,Aramis Ramírez,2,5,-1.5,47,0.796,46,0.0,-13.0,-12.0,62.0
140,Kenny Lofton,2,2,0.0,130,0.784,168,0.0,1.0,-4.0,47.0
146,Jimmy Dykes,2,0,-0.4,59,0.504,35,52.0,-2.0,-11.0,45.0
148,George Van Haltren,2,3,-1.1,45,0.55,35,45.0,-10.0,-15.0,49.0
149,Willie Randolph,2,7,-0.4,91,0.884,106,0.0,-3.0,-6.0,11.0
155,Dale Murphy,2,16,-0.1,122,0.758,107,0.0,-1.0,-1.0,85.0
156,Tommy Leach,2,0,-0.1,3,0.2,1,-42.0,-1.0,-2.0,-40.0
161,Michael Young,2,7,-0.1,134,0.787,155,0.0,-1.0,-1.0,-144.0
163,Charlie Grimm,2,0,-0.3,12,0.258,2,-20.0,-2.0,-3.0,-24.0
168,Frank White,2,4,-0.3,86,0.706,92,0.0,-2.0,-10.0,37.0
169,Brian Downing,2,7,-0.6,68,0.738,56,0.0,-6.0,-5.0,39.0
170,Stuffy McInnis,2,1,0.0,19,0.59,11,84.0,0.0,-1.0,84.0
174,Harry Heilmann,2,2,-0.3,68,0.629,41,87.0,-1.0,-3.0,86.0
176,Bill Mazeroski,2,9,0.2,80,0.823,87,0.0,4.0,-11.0,62.0
178,Willie Wilson,2,1,0.0,107,0.634,98,0.0,0.0,-1.0,-26.0
182,Tony Taylor,2,6,-0.2,140,0.613,117,64.0,0.0,-27.0,56.0
185,Johnny Bench,2,23,-0.5,98,0.818,89,0.0,-4.0,-7.0,19.0
186,John Ward,2,1,0.1,37,0.519,27,68.0,1.0,-5.0,73.0
188,Don Kessinger,2,0,-0.2,77,0.553,66,0.0,-1.0,-2.0,-35.0
195,Lee May,2,34,0.0,143,0.941,179,0.0,-1.0,-1.0,-147.0
200,John Olerud,2,0,0.0,6,0.75,3,118.0,0.0,0.0,113.0
201,Maury Wills,2,1,-0.2,48,0.778,60,0.0,-2.0,-17.0,39.0
203,Todd Zeile,2,19,-0.2,118,0.835,131,0.0,-1.0,-2.0,83.0
205,Orlando Cabrera,2,12,-0.1,135,0.782,150,0.0,-1.0,-2.0,11.0
206,Pie Traynor,2,0,-0.5,17,0.576,11,63.0,-5.0,-2.0,57.0
209,Juan Pierre,2,0,0.3,111,0.768,151,0.0,3.0,-11.0,59.0
210,Ed Delahanty,2,1,0.0,74,0.554,66,72.0,0.0,-9.0,76.0
211,Patsy Donovan,2,0,-0.8,60,0.559,59,59.0,-9.0,-8.0,63.0
212,Dick Groat,2,1,-0.1,95,0.632,109,74.0,1.0,-12.0,74.0
214,Raúl Ibañez,2,12,-0.1,130,0.811,143,0.0,-1.0,-1.0,-55.0
215,Kid Gleason,2,0,-0.1,24,0.461,17,44.0,-1.0,-6.0,44.0
220,Hal Chase,2,3,0.0,128,0.606,116,84.0,2.0,-10.0,80.0
221,Ray Durham,2,7,-0.3,125,0.693,121,83.0,-3.0,-8.0,87.0
222,Toby Harrah,2,8,0.0,98,0.744,77,0.0,0.0,0.0,-138.0
224,Scott Rolen,2,11,-0.3,106,0.931,129,0.0,-2.0,-2.0,88.0
226,Royce Clayton,2,5,-0.6,126,0.751,136,0.0,-5.0,-4.0,-32.0
229,Edd Roush,2,0,-0.2,9,0.2,1,-41.0,-2.0,-2.0,-93.0
234,Eddie Yost,2,0,-0.4,7,0.343,2,1.0,-3.0,-2.0,-10.0
235,Devon White,2,8,0.1,136,0.752,147,0.0,1.0,-1.0,48.0
241,Amos Otis,2,3,-0.5,126,0.679,109,0.0,-4.0,-2.0,63.0
244,A.J. Pierzynski,2,10,-0.1,118,0.709,116,0.0,-1.0,0.0,81.0
251,George Burns,2,0,-0.3,6,0.17,1,-53.0,-3.0,-3.0,-66.0
252,Curtis Granderson,2,21,-0.1,123,0.922,140,0.0,-1.0,-1.0,80.0
253,Roger Peckinpaugh,2,0,-0.3,15,0.434,9,35.0,-2.0,-4.0,21.0
256,Tommy Davis,2,18,0.0,153,0.899,211,0.0,0.0,0.0,-153.0
258,Hal McRae,2,16,-1.0,119,0.857,131,0.0,-8.0,-4.0,20.0
259,Plácido Polanco,2,1,-0.4,70,0.709,69,0.0,-3.0,-6.0,56.0
267,Ron Cey,2,32,0.0,137,0.988,164,0.0,0.0,0.0,-138.0
268,Kiki Cuyler,2,0,-0.1,1,0.0,0,-100.0,-1.0,-1.0,-142.0
269,Duke Snider,2,12,-0.4,66,0.936,85,0.0,-4.0,-6.0,40.0
276,George Hendrick,2,21,-0.5,63,1.029,83,0.0,-4.0,-4.0,68.0
280,Tino Martinez,2,17,-0.1,128,0.912,145,0.0,-1.0,-2.0,77.0
281,Bobby Doerr,2,2,-0.4,55,0.626,33,55.0,-5.0,-11.0,51.0
282,Shawn Green,2,4,-0.1,99,0.706,102,0.0,-1.0,-2.0,-139.0
286,Robin Ventura,2,3,0.1,129,0.764,126,0.0,1.0,-2.0,65.0
287,Paul Hines,2,0,-0.4,11,0.469,11,30.0,-7.0,-6.0,46.0
291,Mark Grudzielanek,2,1,-0.2,49,0.717,54,0.0,-1.0,-15.0,56.0
296,Buddy Myer,2,0,0.0,4,0.5,2,28.0,0.0,-1.0,15.0
297,Moises Alou,2,8,-0.1,126,0.74,125,0.0,-1.0,-1.0,16.0
298,Jack Glasscock,2,0,-0.5,80,0.479,68,56.0,-6.0,-15.0,68.0
299,Reggie Smith,2,18,-0.3,143,0.899,162,0.0,-2.0,-4.0,-41.0
301,Gil Hodges,2,0,-0.1,1,0.333,0,0.0,-1.0,0.0,21.0
304,Adam Jones,2,16,0.0,96,0.829,109,0.0,0.0,-5.0,47.0
305,Joe Kelley,2,0,-0.2,12,0.588,11,65.0,-2.0,-3.0,59.0
307,Don Mattingly,2,10,-0.1,130,0.815,150,0.0,-1.0,-2.0,-37.0
308,Matt Williams,2,6,0.0,56,0.809,61,0.0,1.0,-16.0,46.0
310,José Cardenal,2,36,0.0,125,1.011,148,0.0,0.0,0.0,56.0
312,Jeff Conine,2,15,-0.1,137,0.947,156,0.0,-1.0,0.0,83.0
322,Larry Walker,2,12,-0.2,114,0.782,104,0.0,-1.0,-5.0,15.0
325,Bobby Grich,2,9,0.3,63,1.074,90,0.0,3.0,-6.0,44.0
327,Melky Cabrera,2,13,-0.5,132,0.722,142,0.0,-5.0,-2.0,32.0
328,Chet Lemon,2,13,-0.2,135,0.825,146,0.0,-2.0,-1.0,78.0
329,Jim Edmonds,2,9,-0.1,95,0.873,112,0.0,-1.0,-3.0,55.0
333,Arlie Latham,2,0,-0.4,22,0.327,10,9.0,-4.0,-7.0,30.0
337,Jimmy Collins,2,7,-0.2,107,0.744,112,95.0,-4.0,-3.0,97.0
340,Alfredo Griffin,2,0,-0.2,144,0.615,132,0.0,-1.0,0.0,33.0
341,Cy Williams,2,0,-0.2,28,0.599,15,65.0,-2.0,-3.0,59.0
342,Gee Walker,2,1,0.0,59,0.768,56,98.0,0.0,-1.0,97.0
344,Roy McMillan,2,1,-0.4,85,0.519,42,40.0,-3.0,-16.0,33.0
349,Justin Upton,2,18,-0.6,103,0.961,123,0.0,-5.0,-11.0,41.0
350,Leo Cardenas,2,7,-0.3,97,0.762,107,0.0,-2.0,-8.0,52.0
351,Norm Cash,2,1,-0.1,29,0.677,20,0.0,-1.0,-1.0,21.0
353,Larry Gardner,2,0,-0.1,3,0.7,3,124.0,0.0,0.0,121.0
355,Bret Boone,2,13,-0.2,118,0.883,138,0.0,-1.0,-9.0,42.0
356,Boog Powell,2,32,-0.3,142,0.981,156,0.0,-3.0,-3.0,-92.0
366,Vernon Wells,2,18,-0.4,129,0.912,167,0.0,-4.0,-5.0,55.0
379,Fred Pfeffer,2,1,-0.2,85,0.493,72,61.0,-3.0,-13.0,73.0
380,Juan González,2,21,-0.3,133,0.848,147,0.0,-2.0,-6.0,20.0
383,Jim Fregosi,2,6,0.0,150,0.663,131,0.0,0.0,-1.0,70.0
385,Larry Doyle,2,0,-0.9,69,0.593,59,83.0,-6.0,-5.0,79.0
386,Greg Luzinski,2,33,0.0,141,1.048,153,0.0,0.0,-1.0,47.0
388,Brady Anderson,2,4,0.3,49,0.8,48,0.0,3.0,-6.0,50.0
400,Mark Kotsay,2,20,0.0,114,0.919,134,0.0,1.0,-5.0,21.0
401,Ron Gant,2,14,0.0,140,0.71,130,0.0,0.0,-3.0,70.0
403,Eric Karros,2,22,-0.3,132,0.943,154,0.0,-3.0,-2.0,-40.0
405,Ossie Bluege,2,0,-0.1,19,0.513,12,38.0,-1.0,-5.0,40.0
406,Gabby Hartnett,2,0,-0.4,31,0.493,14,27.0,-5.0,-8.0,17.0
407,Bill Terry,2,0,0.0,3,0.476,1,30.0,-1.0,-1.0,40.0
411,Shano Collins,2,1,-0.1,97,0.547,62,76.0,2.0,-9.0,73.0
413,Dante Bichette,2,14,-0.4,132,0.75,136,0.0,-3.0,-3.0,47.0
415,Pete Runnels,2,3,0.2,74,0.865,100,0.0,2.0,-3.0,90.0
418,Curt Flood,2,29,0.0,154,1.015,190,0.0,-1.0,0.0,-150.0
421,Hanley Ramírez,2,6,-0.1,122,0.72,126,0.0,-1.0,-1.0,-143.0
426,Cookie Rojas,2,0,-0.9,47,0.56,41,0.0,-8.0,-4.0,68.0
429,Bill Dickey,2,0,0.0,10,0.6,3,55.0,0.0,-1.0,36.0
433,Deacon McGuire,2,1,-0.8,45,0.468,28,50.0,-8.0,-9.0,61.0
435,Ken Caminiti,2,15,-0.4,95,0.884,122,0.0,-4.0,-10.0,59.0
442,Tommy Harper,2,26,-0.4,144,1.02,166,0.0,-3.0,-3.0,-5.0
443,Billy Jurges,2,0,-0.5,88,0.551,59,47.0,-5.0,-23.0,38.0
445,Milt Stock,2,0,-0.1,7,0.498,3,42.0,-1.0,-1.0,44.0
446,Reggie Sanders,2,8,-0.7,86,0.89,95,0.0,-6.0,-3.0,28.0
451,Jim Gantner,2,6,0.0,126,0.799,118,0.0,0.0,-1.0,85.0
454,Dick McAuliffe,2,7,-0.1,138,0.873,162,0.0,-1.0,-1.0,61.0
455,Bob Watson,2,10,0.0,105,0.878,105,0.0,0.0,0.0,-134.0
462,Sam West,2,0,-0.1,38,0.648,16,70.0,-2.0,-3.0,68.0
463,Richie Hebner,2,6,0.0,104,0.738,105,0.0,0.0,0.0,-141.0
464,Johnny Evers,2,0,0.4,26,0.485,20,53.0,3.0,-4.0,56.0
465,Phil Garner,2,14,-0.2,138,0.837,149,0.0,-1.0,-1.0,-135.0
466,Rick Monday,2,27,-0.4,157,0.889,155,0.0,-3.0,-4.0,19.0
468,Eric Young Sr.,2,3,-0.3,94,0.831,118,0.0,-2.0,-4.0,75.0
469,Ivy Olson,2,1,0.9,140,0.643,142,79.0,9.0,-16.0,77.0
473,Jorge Posada,2,11,-0.3,106,0.866,96,0.0,-3.0,-3.0,-69.0
474,Shin-Soo Choo,2,11,-0.1,115,0.813,121,0.0,-1.0,-3.0,-31.0
475,Travis Jackson,2,0,-0.2,3,0.0,0,-100.0,-2.0,-3.0,-169.0
476,Bob Bailey,2,28,0.0,153,0.941,164,0.0,0.0,-3.0,44.0
481,Bill Bruton,2,1,0.7,151,0.636,153,70.0,9.0,-26.0,68.0
483,José Bautista,2,0,-0.2,64,0.502,18,33.0,-2.0,-1.0,36.0
485,Vic Power,2,8,0.0,127,0.652,118,78.0,2.0,-12.0,76.0
486,Ed Brinkman,2,2,-0.1,60,0.792,74,0.0,-1.0,-2.0,-44.0
487,Paul Blair,2,7,-0.2,131,0.758,138,0.0,-1.0,0.0,-145.0
488,Dustin Pedroia,2,5,-0.8,111,0.81,129,0.0,-8.0,-8.0,36.0
489,Bill Hallman,2,0,-0.1,18,0.52,13,61.0,-1.0,-3.0,55.0
497,George Kelly,2,1,-0.4,17,0.416,6,28.0,-3.0,-3.0,16.0
504,Enos Cabell,2,8,-0.1,141,0.702,145,0.0,-1.0,-1.0,-149.0
510,Tim Salmon,2,29,-0.2,118,1.141,142,0.0,-2.0,-4.0,61.0
513,Ted Kluszewski,2,0,-0.1,9,0.282,1,-23.0,-1.0,-2.0,-32.0
516,Claude Ritchey,2,0,0.5,101,0.711,95,84.0,3.0,-6.0,89.0
518,Al López,2,0,-0.3,3,0.0,0,-100.0,-3.0,-3.0,-131.0
520,Ben Oglivie,2,17,0.1,134,0.883,144,0.0,1.0,-1.0,67.0
525,Rudy York,2,0,-0.1,0,0.0,0,0.0,-1.0,-1.0,13.0
527,José Guillén,2,14,-3.3,143,0.712,133,82.0,-30.0,-11.0,82.0
529,Ben Zobrist,2,3,-0.6,101,0.883,124,0.0,-6.0,-13.0,45.0
531,Lou Piniella,2,4,0.0,67,0.784,73,0.0,0.0,0.0,-144.0
535,Willie Montañez,2,11,-0.1,93,0.865,86,0.0,-1.0,0.0,-136.0
536,Granny Hamner,2,0,0.5,21,0.535,19,54.0,4.0,-4.0,53.0
538,Jorge Orta,2,7,-0.4,53,0.923,62,0.0,-2.0,-5.0,56.0
539,Monte Cross,2,0,-0.4,15,0.382,8,14.0,-4.0,-6.0,20.0
540,Willie Jones,2,10,-0.2,123,0.854,150,0.0,-1.0,-3.0,60.0
543,Lloyd Moseby,2,3,-0.7,37,0.914,47,0.0,-5.0,-15.0,69.0
544,Billy Shindle,2,0,0.1,7,0.538,7,63.0,1.0,-1.0,63.0
546,Mike Lowell,2,26,0.1,126,0.89,155,0.0,1.0,-1.0,29.0
548,Doug DeCinces,2,19,0.1,131,0.856,117,0.0,1.0,-2.0,-8.0
551,Kirk Gibson,2,9,-0.3,89,0.724,80,0.0,-2.0,-2.0,57.0
553,Dave Martinez,2,5,-1.1,83,0.763,92,0.0,-10.0,-13.0,-8.0
554,Félix Millan,2,7,-0.1,76,0.777,94,0.0,-1.0,-2.0,83.0
555,Matty Alou,2,14,0.0,150,0.814,192,0.0,0.0,0.0,80.0
556,Mark Belanger,2,2,0.0,125,0.645,110,0.0,0.0,0.0,78.0
557,Fred Merkle,2,0,-0.4,15,0.547,12,69.0,-3.0,-2.0,59.0
558,Clete Boyer,2,0,-0.6,47,0.521,19,41.0,-6.0,-7.0,24.0
560,Álex González,2,10,-0.3,108,0.773,117,0.0,-3.0,-6.0,44.0
561,Mike Bordick,2,2,-0.1,111,0.617,79,0.0,-1.0,-3.0,-56.0
565,George McQuinn,2,9,-0.6,108,0.901,135,0.0,-6.0,-9.0,47.0
570,Julián Javier,2,3,0.5,31,0.757,32,0.0,6.0,-21.0,60.0
572,Lou Bierbauer,2,2,-0.6,137,0.545,118,72.0,-10.0,-19.0,77.0
578,Tom Daly,2,0,-0.1,2,0.0,0,-100.0,-1.0,-2.0,-32.0
580,Justin Morneau,2,22,-0.4,91,0.879,97,0.0,-4.0,-4.0,69.0
581,Howie Shanks,2,1,-0.3,116,0.614,92,75.0,-3.0,-14.0,73.0
582,Cy Seymour,2,0,-0.2,12,0.438,7,17.0,-2.0,-4.0,8.0
583,Ken Keltner,2,27,0.0,142,0.909,170,0.0,0.0,0.0,-128.0
584,Duke Farrell,2,3,-0.9,64,0.564,56,73.0,-9.0,-9.0,68.0
585,José Offerman,2,0,-0.7,117,0.826,148,0.0,-6.0,-6.0,5.0
586,Greg Gagne,2,17,-0.8,119,0.782,100,0.0,-8.0,-5.0,-43.0
590,Eddie Foster,2,0,-0.4,30,0.374,11,14.0,-3.0,-8.0,14.0
592,Billy Goodman,2,2,-0.1,94,0.892,112,0.0,-1.0,-1.0,9.0
599,Cupid Childs,2,0,-0.1,2,0.0,0,-100.0,-1.0,-1.0,-74.0
601,Ryan Klesko,2,17,-0.3,123,0.758,105,0.0,-3.0,-3.0,-114.0
602,Freddie Lindstrom,2,0,0.1,52,0.63,20,71.0,1.0,-3.0,68.0
603,Rico Carty,2,31,0.0,132,1.028,142,0.0,0.0,0.0,-142.0
604,Eddie Joost,2,0,-0.1,13,0.407,4,14.0,-1.0,-3.0,5.0
610,Marlon Byrd,2,15,-0.2,136,0.838,160,0.0,-2.0,-1.0,73.0
611,Shannon Stewart,2,5,-0.2,138,0.788,143,0.0,-2.0,-3.0,43.0
612,César Tovar,2,11,0.0,102,0.899,130,0.0,0.0,-1.0,51.0
613,Tito Fuentes,2,20,-0.4,96,0.882,119,0.0,-4.0,-4.0,48.0
615,Frank Bolling,2,6,-0.9,117,0.639,87,76.0,-7.0,-11.0,74.0
619,Sparky Adams,2,0,-0.1,156,0.777,209,0.0,-2.0,-3.0,54.0
620,Joe Rudi,2,13,-0.5,121,0.777,126,0.0,-3.0,-3.0,44.0
623,Bill Nicholson,2,0,-0.3,11,0.0,0,-100.0,-4.0,-4.0,-141.0
624,Art Fletcher,2,0,-0.5,33,0.472,21,45.0,-4.0,-6.0,42.0
626,José Valentín,2,3,-0.1,139,0.658,118,0.0,-1.0,-1.0,-135.0
627,Anthony Rizzo,2,26,-0.4,93,1.056,118,0.0,-3.0,-6.0,62.0
628,Jeff Burroughs,2,17,0.0,115,0.854,105,0.0,0.0,-1.0,28.0
629,Al Cowens,2,1,-0.3,110,0.589,65,67.0,-1.0,-12.0,60.0
630,Mo Vaughn,2,14,-0.3,69,0.918,64,0.0,-3.0,-4.0,85.0
631,Brian Roberts,2,2,-0.4,66,0.728,67,0.0,-4.0,-14.0,60.0
633,Tim McCarver,2,3,-0.4,82,0.842,124,0.0,-3.0,-3.0,-3.0
635,George McBride,2,0,-0.1,3,0.397,2,14.0,-1.0,-1.0,21.0
639,Tommy Dowd,2,1,-0.3,116,0.608,121,78.0,-3.0,-2.0,79.0
640,Michael Brantley,2,6,0.0,116,0.711,122,0.0,0.0,-1.0,90.0
642,Marty Marion,2,3,1.0,125,0.656,121,77.0,11.0,-13.0,75.0
645,Al Smith,2,0,0.0,4,0.718,4,112.0,0.0,-1.0,114.0
652,Adam Kennedy,2,10,-0.5,91,0.868,120,0.0,-4.0,-6.0,56.0
653,Joe Vosmik,2,0,-0.1,9,0.567,6,41.0,-1.0,-2.0,35.0
654,John Mayberry,2,23,-0.2,131,0.982,138,0.0,-2.0,-2.0,-84.0
663,Joe Randa,2,8,-0.5,64,0.779,64,0.0,-5.0,-8.0,13.0
664,Jo-Jo Moore,2,0,-0.1,3,0.4,1,-2.0,-1.0,-1.0,-20.0
666,Melvin Mora,2,8,0.0,82,0.844,92,0.0,0.0,-4.0,5.0
668,Joe Dugan,2,0,-0.3,43,0.482,26,49.0,-2.0,-8.0,42.0
669,Troy Glaus,2,35,-0.6,109,1.043,125,0.0,-7.0,-13.0,45.0
671,Danny Murphy,2,0,-0.1,22,0.625,20,78.0,-1.0,-2.0,81.0
674,Rico Petrocelli,2,19,0.0,137,0.754,118,0.0,0.0,0.0,91.0
676,Bobby Richardson,2,6,-0.7,119,0.782,146,0.0,-6.0,-4.0,-21.0
678,Jack O'Connor,2,0,-0.6,12,0.243,4,-33.0,-8.0,-8.0,-15.0
679,Luke Sewell,2,0,0.0,3,0.0,0,-100.0,0.0,-2.0,-197.0
680,Cristian Guzmán,2,1,-2.5,131,0.543,95,38.0,-27.0,-41.0,31.0
681,Lance Johnson,2,5,-0.4,116,0.849,159,0.0,-4.0,-5.0,28.0
682,José Vizcaíno,2,1,-0.1,129,0.665,123,0.0,-1.0,0.0,60.0
683,Martín Prado,2,3,-0.6,103,0.68,117,0.0,-6.0,-1.0,84.0
684,George Wood,2,0,0.3,81,0.591,80,93.0,3.0,-4.0,91.0
688,Buck Ewing,2,0,-0.1,13,0.396,8,32.0,-1.0,-3.0,48.0
695,Leo Durocher,2,0,0.0,2,0.0,0,-100.0,0.0,0.0,-131.0
696,Tom Herr,2,6,0.0,109,0.785,124,0.0,0.0,-1.0,49.0
698,Charlie Blackmon,2,10,-0.7,58,0.965,82,0.0,-6.0,-6.0,46.0
699,Eddie Miller,2,8,-0.1,150,0.63,132,0.0,-1.0,-2.0,-16.0
702,Cliff Floyd,2,28,-0.3,133,0.93,155,0.0,-3.0,-3.0,24.0
708,Heinie Zimmerman,2,0,-0.1,5,0.556,2,70.0,-1.0,0.0,66.0
712,DJ LeMahieu,2,5,-0.2,108,0.777,132,0.0,-1.0,-4.0,44.0
716,Charlie Hayes,2,7,-0.1,131,0.767,151,0.0,-1.0,-1.0,-13.0
717,Buddy Lewis,2,9,-0.5,154,0.758,179,0.0,-5.0,-6.0,-66.0
719,Scott Fletcher,2,4,0.0,119,0.696,117,0.0,0.0,-2.0,67.0
722,Brandon Crawford,2,4,0.3,43,0.757,44,0.0,3.0,-9.0,63.0
724,Johnny Logan,2,4,0.0,57,0.708,47,0.0,1.0,-8.0,62.0
725,Bill Wambsganss,2,0,-0.2,43,0.564,31,67.0,-1.0,-6.0,62.0
727,Jackie Jensen,2,1,-0.5,45,0.547,12,41.0,-5.0,-7.0,33.0
734,Johnny Temple,2,2,-0.4,103,0.708,133,0.0,-4.0,-7.0,35.0
735,Del Unser,2,1,-1.5,156,0.56,146,74.0,-5.0,-17.0,73.0
736,Glenn Beckert,2,3,-0.6,154,0.573,147,61.0,-3.0,-25.0,63.0
737,Jack Fournier,2,0,0.1,35,0.578,14,67.0,1.0,-4.0,62.0
739,Matt Stairs,2,11,-0.3,110,0.777,107,0.0,-2.0,-2.0,57.0
741,Tony González,2,9,-0.7,117,0.764,93,107.0,-6.0,-5.0,114.0
742,Hank Greenberg,2,0,0.0,1,0.0,0,-100.0,0.0,0.0,-123.0
743,Johnny Ray,2,5,0.1,131,0.908,183,0.0,1.0,-4.0,58.0
744,Mike Sweeney,2,18,0.0,99,0.972,103,0.0,0.0,0.0,15.0
747,Erick Aybar,2,6,-0.2,81,0.74,96,0.0,-2.0,-4.0,27.0
750,George Miller,2,0,-0.4,89,0.522,78,73.0,-3.0,-9.0,82.0
753,Bones Ely,2,0,-0.1,1,0.0,0,-100.0,-1.0,-1.0,-90.0
754,Tony Armas,2,21,0.0,114,0.745,96,0.0,0.0,0.0,80.0
757,Brian Jordan,2,4,-0.4,43,0.737,45,0.0,-2.0,-7.0,67.0
759,Billy Rogell,2,0,-1.5,58,0.481,33,23.0,-16.0,-21.0,9.0
761,Hank Bauer,2,23,-0.3,132,0.9,165,0.0,-3.0,-4.0,37.0
763,Zoilo Versalles,2,9,-0.5,83,0.733,101,0.0,-4.0,-6.0,23.0
767,Ken McMullen,2,21,-0.1,143,0.818,149,0.0,-1.0,-1.0,37.0
