index,name,group,HR,WAR,G,OPS,H,OPS+,RAR,Rbat,Rbat+
2,Carl Yastrzemski,2,11,-0.3,148,0.721,155,91.0,1.0,-9.0,88.0
3,Cal Ripken Jr.,2,23,-0.5,114,0.919,126,0.0,-4.0,-5.0,-24.0
4,Ty Cobb,2,1,0.2,41,0.584,36,85.0,2.0,-2.0,84.0
7,Derek Jeter,2,2,-0.3,123,0.816,154,0.0,-4.0,-2.0,65.0
12,Rickey Henderson,2,3,-0.9,71,0.878,80,0.0,-9.0,-6.0,88.0
13,Willie Mays,2,0,0.0,13,0.638,10,71.0,0.0,-2.0,75.0
16,Brooks Robinson,2,11,-0.6,95,0.903,117,0.0,-6.0,-4.0,-80.0
17,Omar Vizquel,2,0,0.7,7,0.598,6,0.0,7.0,-24.0,49.0
18,Álex Rodríguez,2,21,-0.3,114,0.953,133,0.0,-3.0,-7.0,12.0
21,George Brett,2,8,-0.2,117,0.758,115,0.0,-2.0,-7.0,-54.0
22,Lou Brock,2,14,-0.2,128,0.96,181,0.0,-2.0,-2.0,-49.0
25,Tris Speaker,2,0,-0.2,7,0.358,3,15.0,-1.0,-2.0,14.0
27,Rabbit Maranville,2,0,-0.3,26,0.524,18,44.0,-3.0,-7.0,42.0
30,Eddie Collins,2,0,-0.1,6,0.4,3,23.0,-1.0,-2.0,-4.0
32,Andre Dawson,2,28,-0.3,114,1.071,135,0.0,-2.0,-4.0,60.0
33,Harold Baines,2,13,-0.7,141,0.686,125,87.0,-6.0,-12.0,79.0
34,Reggie Jackson,2,25,-0.5,150,0.96,159,0.0,-3.0,-5.0,63.0
37,Tony Pérez,2,34,-0.2,124,0.971,148,0.0,-2.0,-3.0,-8.0
40,Rusty Staub,2,6,0.6,150,0.617,115,84.0,7.0,-10.0,82.0
42,Iván Rodríguez,2,3,0.7,50,0.683,48,0.0,7.0,-9.0,74.0
48,Roberto Clemente,2,5,-0.3,124,0.666,121,77.0,0.0,-11.0,81.0
50,Bill Buckner,2,15,0.0,152,0.799,186,0.0,0.0,0.0,-135.0
55,Billy Williams,2,11,-0.2,99,0.904,128,0.0,-2.0,-4.0,0.0
57,Jimmy Rollins,2,12,-0.1,133,0.798,129,0.0,-1.0,-2.0,77.0
61,Nellie Fox,2,1,-0.1,55,0.733,64,0.0,-1.0,0.0,-6.0
65,Luis Gonzalez,2,24,0.0,138,0.832,131,0.0,0.0,-2.0,25.0
66,Doc Cramer,2,0,-0.2,2,0.0,0,-100.0,-2.0,-2.0,-144.0
67,Frankie Frisch,2,2,0.2,54,0.537,43,61.0,3.0,-8.0,55.0
69,Lave Cross,2,0,0.1,54,0.655,54,80.0,-1.0,-6.0,83.0
71,Al Oliver,2,14,-0.1,132,0.854,149,0.0,0.0,-1.0,-53.0
78,Darrell Evans,2,10,-0.4,109,0.908,126,0.0,-3.0,-2.0,16.0
80,Tim Raines,2,6,-0.1,108,0.94,152,0.0,-1.0,-2.0,24.0
