index,name,group,HR,WAR,G,OPS,H,OPS+,RAR,Rbat,Rbat+
0,Pete Rose,0,6,2.4,157,0.705,170,101.0,23.0,1.0,102.0
1,Henry Aaron,0,13,1.4,122,0.769,131,104.0,16.0,5.0,109.0
8,Adrián Beltré,0,13,0.2,64,0.992,79,0.0,3.0,-6.0,77.0
9,Robin Yount,0,3,1.5,107,0.622,86,79.0,15.0,-7.0,82.0
10,Dave Winfield,0,3,0.1,56,0.714,39,106.0,2.0,1.0,109.0
11,Stan Musial,0,29,0.7,141,1.001,204,0.0,7.0,5.0,190.0
14,Craig Biggio,0,3,0.3,77,0.863,90,0.0,3.0,-3.0,77.0
19,Rafael Palmeiro,0,12,-0.1,140,0.809,156,0.0,-1.0,-1.0,84.0
20,Honus Wagner,0,2,1.4,62,0.843,81,125.0,16.0,9.0,122.0
23,Cap Anson,0,0,0.8,25,0.803,39,128.0,12.0,5.0,117.0
24,Luis Aparicio,0,3,1.5,152,0.653,142,72.0,16.0,-20.0,69.0
26,Al Kaline,0,1,-0.3,30,0.657,7,78.0,-2.0,0.0,90.0
29,Miguel Cabrera,0,10,0.6,69,1.038,97,0.0,7.0,2.0,105.0
38,Carlos Beltrán,0,19,0.3,99,0.948,117,0.0,3.0,0.0,99.0
39,Johnny Damon,0,16,1.4,111,0.968,145,0.0,14.0,-3.0,88.0
41,Vada Pinson,0,11,0.2,124,0.904,163,0.0,3.0,-1.0,89.0
43,Nap Lajoie,0,4,0.8,39,0.872,57,129.0,8.0,4.0,116.0
44,Sam Crawford,0,1,0.4,31,0.782,39,112.0,4.0,0.0,102.0
47,Mel Ott,0,0,0.3,35,0.81,23,120.0,3.0,1.0,120.0
49,Ernie Banks,0,2,0.5,10,0.956,11,143.0,5.0,2.0,139.0
51,Steve Finley,0,0,0.4,18,0.764,24,0.0,4.0,-5.0,79.0
53,Max Carey,0,0,0.3,2,1.458,3,313.0,3.0,2.0,298.0
54,Dave Parker,0,9,1.1,84,0.871,98,0.0,10.0,1.0,108.0
58,Tony Gwynn,0,5,1.0,93,0.801,120,0.0,10.0,3.0,112.0
59,Joe Morgan,0,18,0.1,140,0.969,147,0.0,1.0,0.0,103.0
60,Sam Rice,0,0,0.1,4,0.75,3,123.0,1.0,0.0,119.0
62,Gary Sheffield,0,28,-0.1,134,0.974,166,0.0,-1.0,-1.0,93.0
64,Willie Davis,0,12,1.0,147,0.937,216,0.0,10.0,5.0,147.0
68,Zack Wheat,0,0,0.7,26,0.774,31,144.0,7.0,4.0,142.0
72,George Davis,0,6,1.9,136,0.711,139,111.0,21.0,9.0,111.0
74,Dwight Evans,0,17,0.4,144,0.891,149,0.0,4.0,2.0,137.0
75,Buddy Bell,0,9,2.0,132,0.672,119,97.0,19.0,-5.0,90.0
76,Graig Nettles,0,22,0.0,170,0.741,146,0.0,0.0,0.0,182.0
77,Chipper Jones,0,13,0.2,139,0.887,174,0.0,2.0,1.0,370.0
79,Gary Gaetti,0,30,0.1,137,0.859,137,0.0,1.0,-1.0,56.0
81,Charlie Gehringer,0,0,0.1,5,0.923,6,140.0,1.0,1.0,147.0
87,Harry Hooper,0,0,0.8,81,0.662,72,106.0,8.0,2.0,107.0
88,Robinson Canó,0,4,0.8,24,0.942,36,0.0,9.0,7.0,110.0
89,Al Simmons,0,8,1.6,152,0.774,183,98.0,15.0,-5.0,93.0
95,Ted Simmons,0,28,0.0,136,0.985,163,0.0,0.0,0.0,167.0
98,Goose Goslin,0,1,0.2,14,0.731,13,90.0,2.0,-1.0,92.0
99,Garret Anderson,0,12,0.1,123,0.855,162,0.0,1.0,0.0,98.0
100,David Ortiz,0,31,0.1,140,0.94,171,0.0,1.0,0.0,105.0
102,Willie Keeler,0,0,0.4,14,0.746,17,126.0,5.0,2.0,125.0
103,Fred Clarke,0,7,0.3,76,0.758,86,88.0,0.0,-10.0,85.0
105,Eddie Mathews,0,25,2.4,145,0.767,128,113.0,24.0,8.0,112.0
106,Jim O'Rourke,0,0,0.2,23,0.624,27,95.0,2.0,1.0,103.0
107,Jeff Kent,0,11,1.3,102,0.741,73,105.0,12.0,3.0,106.0
109,Red Schoendienst,0,1,1.1,137,0.648,157,78.0,12.0,-15.0,77.0
119,Mike Schmidt,0,26,0.1,131,0.96,127,0.0,1.0,-1.0,75.0
123,Marquis Grissom,0,5,0.1,127,0.761,135,0.0,2.0,0.0,105.0
124,George Sisler,0,3,0.4,81,0.676,78,106.0,8.0,1.0,103.0
127,Jim Rice,0,25,0.0,117,0.971,145,0.0,1.0,-1.0,94.0
131,Brett Butler,0,3,0.5,125,0.868,156,0.0,5.0,0.0,100.0
133,Jimmy Ryan,0,0,0.2,3,1.038,6,218.0,2.0,2.0,194.0
135,Harmon Killebrew,0,0,0.0,9,0.785,4,121.0,0.0,0.0,122.0
136,Ron Santo,0,7,0.9,71,0.762,73,0.0,10.0,1.0,103.0
139,Jimmie Foxx,0,0,0.2,10,1.444,6,255.0,3.0,2.0,284.0
141,Mickey Mantle,0,11,1.5,40,1.096,60,0.0,15.0,6.0,114.0
142,Tim Wallach,0,36,0.0,134,0.919,144,0.0,0.0,0.0,87.0
143,Andrés Galarraga,0,25,0.2,121,0.854,118,0.0,2.0,-3.0,67.0
144,Mark Grace,0,0,1.0,21,0.675,17,0.0,12.0,11.0,121.0
145,Pee Wee Reese,0,5,2.2,84,0.738,85,98.0,21.0,0.0,101.0
147,Rubén Sierra,0,9,1.4,46,0.86,56,0.0,15.0,-1.0,99.0
150,Lou Gehrig,0,1,0.4,13,1.234,11,218.0,4.0,4.0,222.0
151,Joe Kuhel,0,0,0.1,18,0.776,18,95.0,1.0,-1.0,94.0
152,Carlos Lee,0,4,0.7,25,0.928,33,0.0,7.0,-7.0,90.0
153,Gary Carter,0,23,0.5,135,0.841,118,0.0,4.0,3.0,195.0
154,Todd Helton,0,16,-0.2,99,0.997,138,0.0,-1.0,0.0,96.0
157,Enos Slaughter,0,8,1.4,112,0.768,109,105.0,14.0,3.0,105.0
158,Barry Larkin,0,10,1.5,103,0.898,136,0.0,14.0,-1.0,94.0
160,Willie Stargell,0,27,0.1,138,0.857,137,0.0,1.0,0.0,99.0
162,José Cruz,0,21,0.3,133,0.902,148,0.0,3.0,1.0,157.0
164,Tony Fernández,0,5,0.1,117,0.784,131,0.0,1.0,0.0,92.0
165,Joe Judge,0,0,0.6,12,0.963,17,186.0,6.0,5.0,194.0
166,Joe Torre,0,16,0.0,117,1.003,127,0.0,0.0,0.0,191.0
167,Bernie Williams,0,8,0.3,78,0.83,90,0.0,4.0,-4.0,91.0
171,Yadier Molina,0,1,0.4,37,0.759,39,0.0,4.0,-5.0,73.0
177,Alfonso Soriano,0,18,-0.1,114,0.811,130,0.0,-1.0,0.0,103.0
179,Garry Templeton,0,6,1.0,106,0.834,142,0.0,10.0,-1.0,96.0
180,Billy Herman,0,0,0.2,25,0.803,32,115.0,2.0,3.0,123.0
189,Ed Konetchy,0,2,1.5,91,0.673,83,115.0,14.0,4.0,114.0
